Iteration;Time;BestFitness;CurrentFitness;Threshold
1;0,016;410,0;429,0;429,0
2;0,022;409,0;410,0;410,0
4;0,029;408,0;409,0;409,0
5;0,07;402,0;408,0;408,0
7;0,074;401,0;402,0;402,0
8;0,081;400,0;401,0;401,0
9;0,085;395,0;400,0;400,0
10;0,088;392,0;395,0;395,0
11;0,101;392,0;392,0;395,0
12;0,104;391,0;392,0;392,0
14;0,109;388,0;391,0;391,0
15;0,109;388,0;388,0;391,0
17;0,11;388,0;388,0;391,0
18;0,117;387,0;388,0;388,0
19;0,119;383,0;387,0;387,0
21;0,122;382,0;383,0;383,0
22;0,151;376,0;382,0;382,0
26;0,151;376,0;376,0;382,0
28;0,155;369,0;376,0;376,0
29;0,157;360,0;369,0;369,0
30;0,159;352,0;360,0;360,0
31;0,164;350,0;352,0;352,0
32;0,17;339,0;350,0;350,0
33;0,174;336,0;339,0;339,0
37;0,175;336,0;336,0;339,0
38;0,178;327,0;336,0;336,0
39;0,18;326,0;327,0;327,0
41;0,183;321,0;326,0;326,0
42;0,184;317,0;321,0;321,0
45;0,187;315,0;317,0;317,0
47;0,189;311,0;315,0;315,0
48;0,191;308,0;311,0;311,0
49;0,193;304,0;308,0;308,0
52;0,196;300,0;304,0;304,0
53;0,199;293,0;300,0;300,0
54;0,199;293,0;293,0;300,0
56;0,205;287,0;293,0;293,0
57;0,209;282,0;287,0;287,0
58;0,211;281,0;282,0;282,0
60;0,213;279,0;281,0;281,0
65;0,216;275,0;279,0;279,0
66;0,217;273,0;275,0;275,0
67;0,22;272,0;273,0;273,0
70;0,222;269,0;272,0;272,0
76;0,226;265,0;269,0;269,0
80;0,228;263,0;265,0;265,0
81;0,23;259,0;263,0;263,0
82;0,231;259,0;259,0;263,0
83;0,232;257,0;259,0;259,0
84;0,234;253,0;257,0;257,0
86;0,236;251,0;253,0;253,0
87;0,236;251,0;251,0;253,0
89;0,237;251,0;251,0;253,0
90;0,239;249,0;251,0;251,0
91;0,24;245,0;249,0;249,0
92;0,247;243,0;245,0;245,0
94;0,253;241,0;243,0;243,0
96;0,259;239,0;241,0;241,0
97;0,262;236,0;239,0;239,0
99;0,264;232,0;236,0;236,0
100;0,266;231,0;232,0;232,0
101;0,266;231,0;231,0;232,0
103;0,268;226,0;231,0;231,0
104;0,27;225,0;226,0;226,0
107;0,273;223,0;225,0;225,0
108;0,275;222,0;223,0;223,0
109;0,277;218,0;222,0;222,0
112;0,278;217,0;218,0;218,0
115;0,279;217,0;217,0;218,0
118;0,28;217,0;217,0;218,0
119;0,282;215,0;217,0;217,0
120;0,282;215,0;215,0;217,0
124;0,284;213,0;215,0;215,0
126;0,287;210,0;213,0;213,0
128;0,287;210,0;210,0;213,0
130;0,289;204,0;210,0;210,0
131;0,291;196,0;204,0;204,0
132;0,292;196,0;196,0;204,0
133;0,294;192,0;196,0;196,0
136;0,294;192,0;192,0;196,0
137;0,296;191,0;192,0;192,0
138;0,298;187,0;191,0;191,0
139;0,299;184,0;187,0;187,0
142;0,301;182,0;184,0;184,0
143;0,303;181,0;182,0;182,0
144;0,304;181,0;181,0;182,0
