Iteration;Time;BestFitness;Call-0;Best-0;Imp-0;Eq-0;Wrs-0;Tm-0;Call-1;Best-1;Imp-1;Eq-1;Wrs-1;Tm-1;Call-2;Best-2;Imp-2;Eq-2;Wrs-2;Tm-2;Call-3;Best-3;Imp-3;Eq-3;Wrs-3;Tm-3;Call-4;Best-4;Imp-4;Eq-4;Wrs-4;Tm-4;Call-5;Best-5;Imp-5;Eq-5;Wrs-5;Tm-5;Call-6;Best-6;Imp-6;Eq-6;Wrs-6;Tm-6;Call-7;Best-7;Imp-7;Eq-7;Wrs-7;Tm-7;Call-8;Best-8;Imp-8;Eq-8;Wrs-8;Tm-8;Call-9;Best-9;Imp-9;Eq-9;Wrs-9;Tm-9;Call-10;Best-10;Imp-10;Eq-10;Wrs-10;Tm-10;
29;0,157;360,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;2;0;0;1;1;0,001243;15;8;8;1;6;0,006052;3;3;3;0;0;0,004174;2;0;0;0;2;0,001386;1;1;1;0;0;0,006277;2;2;2;0;0;0,001341;0;0;0;0;0;0,0;1;0;0;1;0;1,46E-4;
30;0,159;352,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;2;0;0;1;1;0,001243;15;8;8;1;6;0,006052;3;3;3;0;0;0,004174;2;0;0;0;2;0,001386;1;1;1;0;0;0,006277;3;3;3;0;0;0,002165;0;0;0;0;0;0,0;1;0;0;1;0;1,46E-4;
31;0,164;350,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;2;0;0;1;1;0,001243;15;8;8;1;6;0,006052;3;3;3;0;0;0,004174;2;0;0;0;2;0,001386;1;1;1;0;0;0,006277;4;4;4;0;0;0,00287;0;0;0;0;0;0,0;1;0;0;1;0;1,46E-4;
32;0,17;339,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;2;0;0;1;1;0,001243;15;8;8;1;6;0,006052;3;3;3;0;0;0,004174;2;0;0;0;2;0,001386;1;1;1;0;0;0,006277;5;5;5;0;0;0,003801;0;0;0;0;0;0,0;1;0;0;1;0;1,46E-4;
33;0,174;336,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;2;0;0;1;1;0,001243;15;8;8;1;6;0,006052;3;3;3;0;0;0,004174;2;0;0;0;2;0,001386;1;1;1;0;0;0,006277;6;6;6;0;0;0,00464;0;0;0;0;0;0,0;1;0;0;1;0;1,46E-4;
38;0,178;327,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;3;0;0;1;2;0,001759;16;8;8;1;7;0,006278;3;3;3;0;0;0,004174;3;0;0;0;3;0,001859;1;1;1;0;0;0,006277;7;7;7;0;0;0,005671;1;0;0;1;0;2,23E-4;1;0;0;1;0;1,46E-4;
39;0,179;326,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;3;0;0;1;2;0,001759;17;9;9;1;7;0,006455;3;3;3;0;0;0,004174;3;0;0;0;3;0,001859;1;1;1;0;0;0,006277;7;7;7;0;0;0,005671;1;0;0;1;0;2,23E-4;1;0;0;1;0;1,46E-4;
41;0,181;321,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;3;0;0;1;2;0,001759;18;9;9;1;8;0,006609;3;3;3;0;0;0,004174;3;0;0;0;3;0,001859;1;1;1;0;0;0,006277;8;8;8;0;0;0,006357;1;0;0;1;0;2,23E-4;1;0;0;1;0;1,46E-4;
42;0,184;317,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;3;0;0;1;2;0,001759;19;10;10;1;8;0,006769;3;3;3;0;0;0,004174;3;0;0;0;3;0,001859;1;1;1;0;0;0,006277;8;8;8;0;0;0,006357;1;0;0;1;0;2,23E-4;1;0;0;1;0;1,46E-4;
45;0,187;315,0;1;1;1;0;0;0,037178;1;1;1;0;0;0,027089;1;0;0;1;0;0,011895;3;0;0;1;2;0,001759;19;10;10;1;8;0,006769;3;3;3;0;0;0,004174;4;0;0;0;4;0,002143;1;1;1;0;0;0,006277;9;9;9;0;0;0,007051;2;0;0;1;1;3,57E-4;1;0;0;1;0;1,46E-4;
