Iteration;Time;BestFitness;CurrentFitness;Threshold
1;0,018;410,0;429,0;429,0
2;0,023;409,0;410,0;410,0
4;0,03;408,0;409,0;409,0
5;0,069;402,0;408,0;408,0
7;0,073;401,0;402,0;402,0
8;0,08;400,0;401,0;401,0
9;0,08;400,0;400,0;401,0
11;0,081;400,0;400,0;401,0
12;0,085;391,0;400,0;400,0
13;0,09;384,0;391,0;391,0
14;0,091;384,0;384,0;391,0
15;0,12;378,0;384,0;384,0
16;0,121;378,0;378,0;384,0
19;0,128;374,0;378,0;378,0
20;0,134;370,0;374,0;374,0
23;0,137;358,0;370,0;370,0
24;0,14;351,0;358,0;358,0
25;0,153;347,0;351,0;351,0
29;0,157;336,0;347,0;347,0
31;0,157;336,0;336,0;347,0
36;0,16;334,0;336,0;336,0
37;0,163;331,0;334,0;334,0
39;0,168;329,0;331,0;331,0
40;0,174;328,0;329,0;329,0
41;0,178;327,0;328,0;328,0
42;0,178;327,0;327,0;328,0
43;0,178;327,0;327,0;328,0
44;0,18;324,0;327,0;327,0
46;0,182;315,0;324,0;324,0
47;0,183;315,0;315,0;324,0
48;0,185;313,0;315,0;315,0
49;0,188;308,0;313,0;313,0
50;0,19;306,0;308,0;308,0
51;0,192;302,0;306,0;306,0
52;0,194;300,0;302,0;302,0
53;0,196;295,0;300,0;300,0
54;0,196;295,0;295,0;300,0
55;0,198;292,0;295,0;295,0
56;0,202;289,0;292,0;292,0
57;0,207;286,0;289,0;289,0
58;0,208;286,0;286,0;289,0
59;0,208;286,0;286,0;289,0
61;0,209;286,0;286,0;289,0
62;0,213;285,0;286,0;286,0
63;0,216;284,0;285,0;285,0
67;0,218;282,0;284,0;284,0
68;0,22;281,0;282,0;282,0
69;0,223;276,0;281,0;281,0
71;0,224;275,0;276,0;276,0
72;0,224;275,0;275,0;276,0
74;0,226;271,0;275,0;275,0
75;0,227;271,0;271,0;275,0
76;0,227;271,0;271,0;275,0
77;0,23;268,0;271,0;271,0
78;0,23;268,0;268,0;271,0
79;0,23;268,0;268,0;271,0
80;0,23;268,0;268,0;271,0
81;0,232;266,0;268,0;268,0
86;0,234;261,0;266,0;266,0
