Iteration;Time;BestFitness;LRM-LLH0;LRM-LLH1;LRM-LLH2;LRM-LLH3;LRM-LLH4;LRM-LLH5;LRM-LLH6;LRM-LLH7;LRM-LLH8;LRM-LLH9;LRM-LLH10;
1;0,017;410,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
2;0,023;409,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
4;0,03;408,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
5;0,068;402,0;34,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
7;0,072;401,0;34,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
8;0,08;400,0;34,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
12;0,085;391,0;34,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;3,0;1,0;2,0
13;0,09;384,0;34,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;3,0;1,0;2,0
15;0,12;378,0;34,0;59,0;1,0;1,0;1,0;1,0;1,0;1,0;3,0;1,0;2,0
19;0,127;374,0;34,0;59,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;1,0;2,0
20;0,133;370,0;34,0;59,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;1,0;2,0
23;0,137;358,0;34,0;59,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;1,0;2,0
24;0,139;351,0;34,0;59,0;1,0;1,0;1,0;1,0;1,0;1,0;2,0;1,0;2,0
25;0,153;347,0;34,0;59,0;27,0;1,0;1,0;1,0;1,0;1,0;2,0;1,0;2,0
29;0,156;336,0;34,0;59,0;27,0;1,0;1,0;1,0;1,0;1,0;2,0;2,0;2,0
36;0,16;334,0;34,0;59,0;27,0;2,0;1,0;1,0;1,0;1,0;3,0;1,0;1,0
37;0,163;331,0;34,0;59,0;27,0;2,0;1,0;6,0;1,0;1,0;3,0;1,0;1,0
39;0,168;329,0;34,0;59,0;27,0;2,0;1,0;5,0;1,0;1,0;3,0;1,0;1,0
40;0,174;328,0;34,0;59,0;27,0;2,0;1,0;4,0;1,0;1,0;3,0;1,0;1,0
41;0,177;327,0;34,0;59,0;27,0;2,0;1,0;4,0;1,0;1,0;3,0;1,0;1,0
44;0,18;324,0;34,0;59,0;27,0;2,0;1,0;5,0;1,0;1,0;3,0;1,0;1,0
46;0,182;315,0;34,0;59,0;27,0;2,0;1,0;5,0;1,0;1,0;5,0;1,0;2,0
48;0,185;313,0;34,0;59,0;27,0;2,0;1,0;5,0;1,0;1,0;5,0;1,0;2,0
49;0,187;308,0;34,0;59,0;27,0;2,0;1,0;5,0;1,0;1,0;5,0;1,0;2,0
50;0,19;306,0;34,0;59,0;27,0;2,0;1,0;5,0;1,0;1,0;5,0;1,0;2,0
51;0,192;302,0;34,0;59,0;27,0;2,0;1,0;5,0;1,0;1,0;5,0;1,0;2,0
52;0,194;300,0;34,0;59,0;27,0;2,0;1,0;5,0;1,0;1,0;5,0;1,0;2,0
53;0,196;295,0;34,0;59,0;27,0;2,0;1,0;4,0;1,0;1,0;5,0;1,0;2,0
55;0,198;292,0;34,0;59,0;27,0;2,0;1,0;5,0;1,0;1,0;5,0;1,0;2,0
56;0,202;289,0;34,0;59,0;27,0;2,0;1,0;5,0;1,0;1,0;5,0;1,0;2,0
57;0,207;286,0;34,0;59,0;27,0;2,0;1,0;5,0;1,0;1,0;5,0;1,0;2,0
62;0,213;285,0;34,0;59,0;27,0;2,0;2,0;5,0;1,0;1,0;6,0;1,0;2,0
63;0,215;284,0;34,0;59,0;27,0;2,0;2,0;5,0;1,0;1,0;5,0;1,0;2,0
67;0,218;282,0;34,0;59,0;27,0;2,0;2,0;5,0;1,0;1,0;5,0;1,0;2,0
68;0,22;281,0;34,0;59,0;27,0;2,0;2,0;5,0;1,0;1,0;5,0;1,0;2,0
69;0,222;276,0;34,0;59,0;27,0;2,0;2,0;5,0;1,0;1,0;5,0;1,0;2,0
71;0,224;275,0;34,0;59,0;27,0;2,0;2,0;5,0;3,0;1,0;5,0;1,0;2,0
74;0,226;271,0;34,0;59,0;27,0;2,0;2,0;5,0;3,0;1,0;5,0;1,0;2,0
77;0,229;268,0;34,0;59,0;27,0;2,0;2,0;5,0;3,0;1,0;6,0;1,0;2,0
81;0,232;266,0;34,0;59,0;27,0;2,0;2,0;5,0;3,0;1,0;6,0;1,0;2,0
